"cDst","tDst","dX","dY","grp","grnd","vege","watr","stnX","indx","type"
1025,37.3963367909542,559703.347981684,6813132.89833679,"STN01025",177.7,NA,NA,"STN01025",NA,"RB01"
1050,8.2671351769212,559678.202835676,6813103.89763518,"STN01050",177.6,NA,NA,"STN01050",NA,"LB01"
1050,45.312472993186,559678.388062365,6813140.94297299,"STN01050",177.6,NA,NA,"STN01050",NA,"RB01"
1075,4.0683295099062,559653.182341648,6813099.82782951,"STN01075",175.8,NA,NA,"STN01075",NA,"LB01"
1075,29.6446764673989,559653.310223382,6813125.40417647,"STN01075",175.8,NA,NA,"STN01075",NA,"RB01"
1100,-14.1166369971008,559628.091416815,6813081.771363,"STN01100",177.6,NA,NA,"STN01100",NA,"LB01"
1100,27.5452351227629,559628.299726176,6813123.43323512,"STN01100",177.6,NA,NA,"STN01100",NA,"RB01"
1125,-48.8332655137336,559602.918333672,6813047.18323449,"STN01125",177.9,NA,NA,"STN01125",NA,"LB01"
1125,15.316397082144,559603.239081985,6813111.33289708,"STN01125",177.9,NA,NA,"STN01125",NA,"RB01"
1150,-49.9439377085651,559600.418350834,6813045.783297,"STN01150",177.9,NA,NA,"STN01150",NA,"LB01"
1150,7.25901334253855,559577.30835861,6813098.12399721,"STN01150",177.9,NA,NA,"STN01150",NA,"RB01"
1175,-49.7654283776656,559598.683774998,6813044.45149013,"STN01175",178,NA,NA,"STN01175",NA,"LB01"
1175,11.6569413273485,559552.801264829,6813085.29736598,"STN01175",178,NA,NA,"STN01175",NA,"RB01"
1200,-47.4000203458801,559580.296815198,6813027.34898647,"STN01200",177.7,NA,NA,"STN01200",NA,"LB01"
1200,12.6032805177416,559535.474349453,6813067.25118154,"STN01200",177.7,NA,NA,"STN01200",NA,"RB01"
1225,-31.9290102389079,559552.119970648,6813018.96170819,"STN01225",176.9,NA,NA,"STN01225",NA,"LB01"
1225,12.0902309466173,559519.237597483,6813048.23450358,"STN01225",176.9,NA,NA,"STN01225",NA,"RB01"
1250,-42.9003756574005,559543.695580616,6812992.99025019,"STN01250",178,NA,NA,"STN01250",NA,"LB01"
1250,3.90584056002508,559508.731337102,6813024.11638397,"STN01250",178,NA,NA,"STN01250",NA,"RB01"
1275,-33.169017837954,559519.806756325,6812980.78560314,"STN01275",177.2,NA,NA,"STN01275",NA,"LB01"
1275,2.27587803530553,559493.329419108,6813004.35645889,"STN01275",177.2,NA,NA,"STN01275",NA,"RB01"
1300,-33.5826073666514,559503.496207703,6812961.8345661,"STN01300",178,NA,NA,"STN01300",NA,"LB01"
1300,13.0666366839068,559468.649222397,6812992.85631339,"STN01300",178,NA,NA,"STN01300",NA,"RB01"
1325,-27.6140471092072,559482.417693191,6812947.12765867,"STN01325",177.8,NA,NA,"STN01325",NA,"LB01"
1325,19.0697666496337,559447.544884313,6812978.17239482,"STN01325",177.8,NA,NA,"STN01325",NA,"RB01"
1350,-24.2425004623635,559468.610747901,6812933.83797727,"STN01350",177.7,NA,NA,"STN01350",NA,"LB01"
1350,31.6792307249381,559420.126606961,6812961.63107767,"STN01350",177.7,NA,NA,"STN01350",NA,"RB01"
1375,-23.1666836215667,559464.807683622,6812923.00416658,"STN01375",177.9,NA,NA,"STN01375",NA,"LB01"
1375,55.9947157104002,559385.64628429,6812923.39997358,"STN01375",177.9,NA,NA,"STN01375",NA,"RB01"
1400,-5.57647565704438,559447.088975657,6812898.09261762,"STN01400",177.5,NA,NA,"STN01400",NA,"LB01"
1400,63.933569907736,559377.578930092,6812898.44016785,"STN01400",177.5,NA,NA,"STN01400",NA,"RB01"
1425,-11.85613370657,559453.240133706,6812873.06171933,"STN01425",177.6,NA,NA,"STN01425",NA,"LB01"
1425,50.9840741967539,559390.399925803,6812873.37592037,"STN01425",177.6,NA,NA,"STN01425",NA,"RB01"
1450,-30.3406489675517,559471.596648968,6812847.96929676,"STN01450",177.4,NA,NA,"STN01450",NA,"LB01"
1450,8.80108766152772,559432.454912339,6812848.16500544,"STN01450",177.4,NA,NA,"STN01450",NA,"RB01"
1475,-34.1861294410699,559477.24548717,6812832.97596301,"STN01475",176.6,NA,NA,"STN01475",NA,"LB01"
1475,-0.977776270726629,559445.133009654,6812824.50783295,"STN01475",176.6,NA,NA,"STN01475",NA,"RB01"
1500,-34.1591136079901,559481.15247166,6812825.91603764,"STN01500",176.9,NA,NA,"STN01500",NA,"LB01"
1500,3.68535478957652,559452.617742489,6812801.0522219,"STN01500",176.9,NA,NA,"STN01500",NA,"RB01"
1525,-26.5679588192037,559491.904303519,6812787.27300442,"STN01525",177.9,NA,NA,"STN01525",NA,"LB01"
1525,14.8005273566249,559451.239081608,6812779.66120297,"STN01525",177.9,NA,NA,"STN01525",NA,"RB01"
1550,-21.433076618087,559489.335076618,6812758.11083462,"STN01550",177.2,NA,NA,"STN01550",NA,"LB01"
1550,13.9919970703125,559453.91000293,6812758.28795999,"STN01550",177.2,NA,NA,"STN01550",NA,"RB01"
1575,-15.5555580672507,559480.847058022,6812731.09188841,"STN01575",177.8,NA,NA,"STN01575",NA,"LB01"
1575,20.8598822038322,559445.087095676,6812738.0472375,"STN01575",177.8,NA,NA,"STN01575",NA,"RB01"
1600,-25.3742258222975,559473.949546689,6812696.19613983,"STN01600",177.8,NA,NA,"STN01600",NA,"LB01"
1600,21.0153615023476,559439.296524958,6812727.0452154,"STN01600",177.8,NA,NA,"STN01600",NA,"RB01"
1625,-26.8843447030248,559469.459008294,6812685.20749562,"STN01625",178,NA,NA,"STN01625",NA,"LB01"
1625,24,559420.4065,6812698.8445,"STN01625",178,NA,NA,"STN01625",NA,"RB01"
1650,-24.6873015873016,559460.749122222,6812662.83280635,"STN01650",177.5,NA,NA,"STN01650",NA,"LB01"
1650,24.1666327568667,559413.898199186,6812676.7073237,"STN01650",177.5,NA,NA,"STN01650",NA,"RB01"
1675,-19.1392404452063,559439.735012613,6812636.5294051,"STN01675",177.7,NA,NA,"STN01675",NA,"LB01"
1675,28.0000678195996,559404.521949339,6812667.8770451,"STN01675",177.7,NA,NA,"STN01675",NA,"RB01"
1700,-19.637107290062,559409.404687492,6812618.39786064,"STN01700",177.7,NA,NA,"STN01700",NA,"LB01"
1700,26.1132987910184,559400.666359931,6812663.32475941,"STN01700",177.7,NA,NA,"STN01700",NA,"RB01"
1725,-25.8021352313166,559398.476757295,6812607.49940427,"STN01725",178.1,NA,NA,"STN01725",NA,"LB01"
1725,28.7247235736398,559368.923199823,6812653.35649253,"STN01725",178.1,NA,NA,"STN01725",NA,"RB01"
1750,-12.2221091895558,559375.300361818,6812605.56802153,"STN01750",178,NA,NA,"STN01750",NA,"LB01"
1750,38.3384626219233,559338.340583823,6812640.05033151,"STN01750",178,NA,NA,"STN01750",NA,"RB01"
1775,-11.8823698384202,559345.369088151,6812593.03463016,"STN01775",177.9,NA,NA,"STN01775",NA,"LB01"
1775,38.8556153921473,559345.622778077,6812643.77261539,"STN01775",177.9,NA,NA,"STN01775",NA,"RB01"
1800,-23.7838661783631,559320.310080669,6812581.26113382,"STN01800",177.7,NA,NA,"STN01800",NA,"LB01"
1800,26.1519063622669,559320.559759532,6812631.19690636,"STN01800",177.7,NA,NA,"STN01800",NA,"RB01"
1825,-23.0833351498638,559295.313583324,6812582.08966485,"STN01825",176.6,NA,NA,"STN01825",NA,"LB01"
1825,13.3287682113668,559295.495643841,6812618.50176821,"STN01825",176.6,NA,NA,"STN01825",NA,"RB01"
1850,-31.8749880791815,559270.27012506,6812573.42601192,"STN01850",178,NA,NA,"STN01850",NA,"LB01"
1850,38.7670889251223,559270.623335445,6812644.06808893,"STN01850",178,NA,NA,"STN01850",NA,"RB01"
1875,-39.8486390181135,559245.230756805,6812565.57986098,"STN01875",177.9,NA,NA,"STN01875",NA,"LB01"
1875,10.7690140845073,559245.48384507,6812616.19751409,"STN01875",177.9,NA,NA,"STN01875",NA,"RB01"
1900,-49.4285963382734,559220.182857018,6812556.12740366,"STN01900",177.7,NA,NA,"STN01900",NA,"LB01"
1900,18.9999346049045,559220.524999673,6812624.55593461,"STN01900",177.7,NA,NA,"STN01900",NA,"RB01"
1925,-49.0268558231602,559218.614994292,6812556.42472234,"STN01925",177.7,NA,NA,"STN01925",NA,"LB01"
1925,12.510642166093,559192.276945153,6812612.05462052,"STN01925",177.7,NA,NA,"STN01925",NA,"RB01"
1950,-14.2500204354105,559189.668265265,6812577.05523641,"STN01950",174,NA,NA,"STN01950",NA,"LB01"
1950,-2.89407776182768,559181.185376088,6812584.60693829,"STN01950",174,NA,NA,"STN01950",NA,"RB01"
1975,-63.3683855421689,559232.879280386,6812559.797424,"STN01975",177.9,NA,NA,"STN01975",NA,"LB01"
1975,19.3809554950046,559150.378187372,6812566.66561931,"STN01975",177.9,NA,NA,"STN01975",NA,"RB01"
2000,-27.9651947776245,559188.010162573,6812529.54061482,"STN02000",177.7,NA,NA,"STN02000",NA,"LB01"
2000,21.4354074950172,559144.241228959,6812552.41309367,"STN02000",177.7,NA,NA,"STN02000",NA,"RB01"
2025,-28.5366934090822,559171.067630137,6812503.89785574,"STN02025",175.9,NA,NA,"STN02025",NA,"LB01"
2025,5.66355028235698,559145.314846637,6812526.40161609,"STN02025",175.9,NA,NA,"STN02025",NA,"RB01"
2050,-31.9290102389079,559173.246010239,6812500.63485495,"STN02050",177.4,NA,NA,"STN02050",NA,"LB01"
2050,16.5045170868502,559124.812482913,6812500.87702258,"STN02050",177.4,NA,NA,"STN02050",NA,"RB01"
2075,-81.5715313351499,559222.761031335,6812475.38714234,"STN02075",177.4,NA,NA,"STN02075",NA,"LB01"
2075,14.5611522163919,559126.628347784,6812475.86780576,"STN02075",177.4,NA,NA,"STN02075",NA,"RB01"
2100,-39.2548587841074,559172.590715223,6812437.07208564,"STN02100",177.8,NA,NA,"STN02100",NA,"LB01"
2100,13.9262775090916,559123.717250969,6812458.02545334,"STN02100",177.8,NA,NA,"STN02100",NA,"RB01"
2125,-31.0869549484351,559146.817955347,6812411.77067496,"STN02125",177.7,NA,NA,"STN02125",NA,"LB01"
2125,10.2767414243546,559115.919274156,6812439.27753305,"STN02125",177.7,NA,NA,"STN02125",NA,"RB01"
2150,-31.457450555405,559130.476215565,6812392.84729538,"STN02150",177.6,NA,NA,"STN02150",NA,"LB01"
2150,8.96293868324381,559100.282184804,6812419.72685422,"STN02150",177.6,NA,NA,"STN02150",NA,"RB01"
2175,-53.1593296089384,559130.068519218,6812359.73904581,"STN02175",177.7,NA,NA,"STN02175",NA,"LB01"
2175,21.5833439287982,559074.235742085,6812409.44292371,"STN02175",177.7,NA,NA,"STN02175",NA,"RB01"
2200,-49.8332867132868,559110.965465175,6812343.27436434,"STN02200",177.9,NA,NA,"STN02200",NA,"LB01"
2200,26.2834871203384,559054.106235121,6812393.89201893,"STN02200",177.9,NA,NA,"STN02200",NA,"RB01"
2225,-11.6351004620813,559057.948259938,6812352.54997906,"STN02225",177.4,NA,NA,"STN02225",NA,"LB01"
2225,25.1066117882962,559046.999229687,6812387.63831426,"STN02225",177.4,NA,NA,"STN02225",NA,"RB01"
2250,-17.5504140052046,559041.128934232,6812339.45282905,"STN02250",177.5,NA,NA,"STN02250",NA,"LB01"
2250,19.0254606122153,559024.852670028,6812372.22481271,"STN02250",177.5,NA,NA,"STN02250",NA,"RB01"
2275,-19.219859387206,559029.154734962,6812327.98879351,"STN02275",177.5,NA,NA,"STN02275",NA,"LB01"
2275,16.3441204919165,559002.588441993,6812351.63884013,"STN02275",177.5,NA,NA,"STN02275",NA,"RB01"
2300,-20.0328080444244,559013.143507609,6812308.77168265,"STN02300",177.6,NA,NA,"STN02300",NA,"LB01"
2300,16.0338902394868,558986.201683991,6812332.75603701,"STN02300",177.6,NA,NA,"STN02300",NA,"RB01"
2325,-23.5681647940074,558999.166419101,6812287.74367041,"STN02325",177.7,NA,NA,"STN02325",NA,"LB01"
2325,17.1519726562499,558968.748476426,6812314.82256182,"STN02325",177.7,NA,NA,"STN02325",NA,"RB01"
2350,-25.6730655242232,558984.120279947,6812267.66691143,"STN02350",177.7,NA,NA,"STN02350",NA,"LB01"
2350,14.7512233622731,558953.923336148,6812294.54906354,"STN02350",177.7,NA,NA,"STN02350",NA,"RB01"
2375,-21.8419908722983,558974.50933721,6812258.21150445,"STN02375",177.6,NA,NA,"STN02375",NA,"LB01"
2375,19.5806556408742,558934.619328618,6812269.35419637,"STN02375",177.6,NA,NA,"STN02375",NA,"RB01"
2400,-11.9898454746137,558958.50626181,6812238.13686358,"STN02400",177.8,NA,NA,"STN02400",NA,"LB01"
