"cDst","tDst","dX","dY","grp","grnd","vege","watr","stnX","indx"
28525,-8,547941.781,6801887.302,5,167.389999389648,NA,NA,"STN28525",47
28550,10,547911.725,6801880.554,5,167.25,175.753326416016,NA,"STN28550",56
28575,30,547878.7095,6801864.0055,5,168.139999389648,176.699996948242,NA,"STN28575",66
28600,24,547878.738,6801830.223,5,167.895004272461,176.947494506836,NA,"STN28600",62
28625,14,547889.063,6801804.8525,5,167.612503051758,NA,NA,"STN28625",58
28650,-1,547912.411,6801784.1845,5,167.630004882812,181.586669921875,NA,"STN28650",49
28675,-8,547934.1185,6801769.9465,5,167.442504882812,NA,NA,"STN28675",47
28700,-20,547959.591,6801758.9935,5,167.766662597656,176.378326416016,NA,"STN28700",41
28725,-17,547973.7685,6801738.1855,5,167.279998779297,NA,NA,"STN28725",41
28750,-20,547992.507,6801719.5105,5,167.179992675781,177.324447631836,NA,"STN28750",40
28775,-22,548005.3765,6801685.355,5,167.667999267578,NA,NA,"STN28775",40
28800,-28,548011.273,6801660.331,5,167.644287109375,NA,NA,"STN28800",37
28825,-30,548013.169,6801635.3235,5,167.494003295898,NA,NA,"STN28825",36
28850,-26,548009.065,6801610.34,5,167.429992675781,180.292007446289,NA,"STN28850",36
28875,-5,547986.187,6801585.3605,5,167.372497558594,178.475006103516,NA,"STN28875",47
28900,4,547968.183,6801567.563,5,167.342498779297,NA,NA,"STN28900",53
28925,6,547950.086,6801557.1705,5,167.380004882812,184.24333190918,NA,"STN28925",52
28950,4,547929.4625,6801546.71,5,167.412002563477,NA,NA,"STN28950",53
28975,18,547898.828,6801541.126,5,167.201812744141,NA,NA,"STN28975",60
29000,30,547873.26,6801530.394,5,167.360000610352,NA,NA,"STN29000",66
29025,36,547855.597,6801521.684,5,167.6728515625,NA,NA,"STN29025",69
29050,38,547853.5995,6801523.043,5,167.697494506836,NA,NA,"STN29050",70
29075,46,547802.409,6801505.284,5,167.589996337891,182.554000854492,NA,"STN29075",74
29100,50,547782.825,6801489.2395,5,167.512496948242,187.589340209961,NA,"STN29100",76
29125,48,547767.7295,6801469.211,5,167.610000610352,171.860000610352,NA,"STN29125",75
29150,30,547764.177,6801419.3115,5,167.553329467773,180.289993286133,NA,"STN29150",66
29175,35,547756.019,6801408.6285,5,167.433334350586,184.67333984375,NA,"STN29175",67
29200,24,547756.204,6801389.4185,5,167.800003051758,182.204544067383,NA,"STN29200",63
29225,12,547748.588,6801362.7495,5,167.997497558594,175.009994506836,NA,"STN29225",57
