distance,angle,east,nrth,code,east_2,nrth_2,grp
53750.000000000000000,90.181613195167870,536496.314,6791771.881,"5366791",536000.000000000000000,6791000.000000000000000,"2"
53775.000000000000000,138.862515263900463,536513.161,6791753.929,"5366791",536000.000000000000000,6791000.000000000000000,"2"
53800.000000000000000,90.181884147047043,536532.295,6791740.990,"5366791",536000.000000000000000,6791000.000000000000000,"2"
53825.000000000000000,90.182018829817579,536557.294,6791740.911,"5366791",536000.000000000000000,6791000.000000000000000,"2"
53850.000000000000000,90.182153511657020,536582.294,6791740.832,"5366791",536000.000000000000000,6791000.000000000000000,"2"
53875.000000000000000,90.182288193459001,536607.294,6791740.752,"5366791",536000.000000000000000,6791000.000000000000000,"2"
53900.000000000000000,90.182288193459001,536632.294,6791740.673,"5366791",536000.000000000000000,6791000.000000000000000,"2"
53925.000000000000000,90.182422874330797,536657.294,6791740.593,"5366791",536000.000000000000000,6791000.000000000000000,"2"
53950.000000000000000,90.182557559037718,536682.294,6791740.513,"5366791",536000.000000000000000,6791000.000000000000000,"2"
53975.000000000000000,138.863741345918868,536700.273,6791725.044,"5366791",536000.000000000000000,6791000.000000000000000,"2"
54000.000000000000000,138.863852480863812,536716.719,6791706.215,"5366791",536000.000000000000000,6791000.000000000000000,"2"
54025.000000000000000,138.863852480863812,536733.165,6791687.386,"5366791",536000.000000000000000,6791000.000000000000000,"2"
54050.000000000000000,180.182898261608955,536740.644,6791665.209,"5366791",536000.000000000000000,6791000.000000000000000,"2"
54075.000000000000000,180.182899860918269,536740.564,6791640.209,"5366791",536000.000000000000000,6791000.000000000000000,"2"
54100.000000000000000,221.501681803468841,536739.156,6791615.715,"5366791",536000.000000000000000,6791000.000000000000000,"2"
54125.000000000000000,221.501681803468841,536722.590,6791596.992,"5366791",536000.000000000000000,6791000.000000000000000,"2"
54150.000000000000000,180.182768371433781,536713.302,6791575.497,"5366791",536000.000000000000000,6791000.000000000000000,"2"
54175.000000000000000,221.501191446445262,536709.753,6791551.818,"5366791",536000.000000000000000,6791000.000000000000000,"2"
54200.000000000000000,221.501191446445262,536693.187,6791533.095,"5366791",536000.000000000000000,6791000.000000000000000,"2"
54225.000000000000000,180.182636877413188,536686.041,6791510.785,"5366791",536000.000000000000000,6791000.000000000000000,"2"
54250.000000000000000,221.501110223442197,536680.351,6791487.921,"5366791",536000.000000000000000,6791000.000000000000000,"2"
54275.000000000000000,221.501110223442197,536663.785,6791469.197,"5366791",536000.000000000000000,6791000.000000000000000,"2"
54300.000000000000000,270.182437232789141,536641.305,6791463.659,"5366791",536000.000000000000000,6791000.000000000000000,"2"
54325.000000000000000,221.500663002955093,536621.526,6791452.099,"5366791",536000.000000000000000,6791000.000000000000000,"2"
54350.000000000000000,221.500663002955093,536604.960,6791433.375,"5366791",536000.000000000000000,6791000.000000000000000,"2"
